q_id,ans
0055292,E
0055350,C
0055351,A
0055400,B
0055402,E
0055690,B
0055691,D
0055692,E
0055770,A
0055771,D
0055772,D
0055860,E
0055861,B
0055862,D
0055950,E
0055951,A
0055952,D
0055990,E
0055992,C
0056000,C
0056001,E
0056002,E
0056010,A
0056011,A
0056012,D
0056172,A
0056350,E
0056351,E
0056352,B
0056442,E
0056520,D
0056521,C
0056522,A
0056700,D
0056702,E
0056730,C
0056900,A
0056901,A
0056940,D
0056941,B
0056942,A
0057060,C
0057061,D
0057130,A
0057131,C
0057132,A
0057230,E
0057231,A
0057240,A
0057282,A
0057540,A
0057542,D
0057580,D
0058021,C
0058041,A
0058161,C
0058600,E
0058601,B
0059340,C
0059341,B
0059610,C
0059611,A
0059612,C
0059650,C
0059651,A
0059652,A
0060050,D
0060051,C
0060121,A
0060122,A
0060190,D
0060191,E
0060330,C
0060331,E
0060400,D
0060402,E
0060740,E
0060741,E
0060910,D
0060911,A
0060912,C
0061771,E
0061802,A
0061890,A
0062110,D
0062111,B
0062131,A
0062132,D
0062200,C
0062201,E
0062202,C
0062260,D
0062660,B
0062661,C
0062662,E
0063060,E
0063061,A
0063470,C
0063471,C
0063970,A
0064152,E
0064170,D
0064172,C
0064370,D
0064371,A
0064372,C
0064500,C
0064501,A
0064502,D
0064710,D
0064711,B
0064712,D
0064841,B
0064970,A
0064971,C
0065270,A
0065271,E
0065791,E
0065792,C
0065801,D
0065890,C
0065891,D
0065892,A
0065930,B
0065931,E
0066080,C
0066081,A
0066082,C
0066140,A
0066141,D
0066581,A
0066582,E
0066620,E
0066621,C
0066730,E
0066731,E
0066732,D
0066881,E
0067010,C
0067011,E
0067120,D
0067121,B
0067190,E
0067191,D
0067200,E
0067201,D
0067480,C
0067710,A
0067712,D
0067830,C
0067831,B
0067891,E
0067892,C
0068100,D
0068101,A
0068180,A
0068181,D
0068450,B
0068470,E
0068471,C
0068472,B
0068540,A
0068541,E
0068610,E
0068640,C
0068642,D
0068702,C
0068710,A
0068711,B
0068740,B
0068940,C
0068960,C
0068961,D
0069210,B
0069211,A
0069492,D
0069540,A
0069541,E
0069542,D
0070230,E
0070232,A
0070500,E
0070501,C
0070502,C
0070720,A
0070721,B
0070880,A
0070881,C
0070960,C
0070962,E
0071071,E
0071072,E
0071080,A
0071081,D
0071150,C
0071151,B
0071250,D
0071251,C
0071252,D
0071490,C
0071491,B
0071550,A
0071551,E
0071552,D
0071780,A
0071781,B
0072020,D
0072021,A
0072070,A
0072111,B
0072112,C
0072140,C
0072141,C
0072142,A
0072411,B
0072412,D
0072532,E
0072560,D
0072562,E
0072600,D
0072602,E
0072670,D
0072671,C
0072672,D
0072740,D
0072761,D
0072762,C
0072781,D
0072782,E
0072812,E
0072880,E
0072970,A
0072972,E
0072980,A
0072981,A
0073040,A
0073200,A
0073201,C
0073202,A
0073250,A
0073331,E
0073551,C
0073552,D
0073860,C
0073862,B
0073940,B
0073941,D
0073982,D
0074140,C
0074141,A
0074440,B
0074441,A
0074442,E
0075062,A
0075110,E
0075111,D
0075112,B
0075190,D
0075191,D
0075192,B
0075220,A
0075222,A
0075560,C
0075590,D
0075591,C
0075592,D
0075660,A
0075662,C
0075700,D
0075701,A
0075702,E
0075740,A
0075741,B
0075742,A
0075931,D
0075932,E
0076661,E
0076662,C
0076731,C
0076732,B
0076901,C
0076902,B
0077221,B
0077260,E
0077300,D
0077301,E
0077302,A
0077840,C
0077841,B
0077842,B
0077872,A
0077890,E
0077891,D
0077950,A
0077952,A
0078160,B
0078161,E
0078180,B
0078182,C
0078671,C
0078672,C
0078731,E
0078880,E
0078881,D
0078882,C
0078990,C
0078991,A
0078992,E
0079130,E
0079131,E
0079132,A
0079380,A
0079382,A
0079521,C
0079610,A
0079611,D
0079612,D
0079770,A
0079771,D
0079772,B
0079890,D
0079892,C
0079910,D
0079912,C
0080052,A
0080101,C
0080102,A
0080160,E
0080161,D
0080212,B
0080420,B
0080421,A
0080450,D
0080451,A
0080650,B
0080651,C
0081190,C
0081191,C
0081280,C
0081281,C
0081310,C
0081311,D
0081312,B
0081700,D
0081701,A
0081790,D
0081791,C
0081792,C
0081801,B
0081802,E
0081810,D
0081812,B
0081880,A
0081881,B
0081882,D
0081902,D
0081910,C
0081911,B
0081912,E
0081962,D
0082041,D
0082111,C
0082181,B
0082771,E
0082921,C
0083330,C
0083331,D
0083500,E
0083501,A
0084010,C
0084011,E
0084012,E
0084181,A
0084431,A
0084450,A
0084452,B
0084570,D
0084731,A
0084830,E
0084831,E
0084832,D
0084930,E
0084931,C
0084932,B
0084950,A
0084951,A
0084980,B
0084981,A
0085321,A
0085481,B
0085482,E
0085831,C
0085891,B
0085892,E
0085941,E
0085942,C
0085990,E
0085992,C
0086031,A
0086032,D
0086120,E
0086122,E
0086290,D
0086291,C
0086461,D
0086471,B
0086650,D
0086651,D
0086760,C
0086762,D
0086880,E
0086881,E
0086882,A
0086900,D
0086902,A
0087081,A
0087082,B
0087111,D
0087112,C
0087180,D
0087182,D
0087210,E
0087211,C
0087212,D
0087490,B
0087491,D
0087492,C
0087620,E
0087711,D
0087750,A
0087752,A
0088030,A
0088320,D
0088322,C
0088530,B
0088531,C
0088532,B
0088761,D
0088880,C
0088881,A
0088882,E
0088990,A
0088991,E
0089220,A
0089221,B
0089230,E
0089231,C
0089232,A
0089340,D
0089531,A
0089532,D
0089810,D
0090032,C
0090070,D
0090072,A
0090410,B
0090412,B
0090501,E
0090771,A
0090772,C
0091050,D
0091051,A
0091420,A
0091421,C
0091450,C
0091451,B
0091560,C
0091561,A
0091562,D
0091700,D
0091701,C
0091712,B
0091720,D
0091721,A
0091722,D
0091750,E
0091752,C
0091860,A
0091861,B
0092141,D
0092142,A
0092170,E
0092171,D
0092172,B
0092360,D
0092361,C
0092362,B
0092620,E
0092622,C
0092700,A
0092701,C
0092702,A
0092740,D
0092741,E
0092742,E
0092750,A
0092752,A
0092860,C
0092861,D
0092862,A
0092880,C
0092881,C
0092882,C
0093172,B
0093780,D
0093781,C
0093782,A
0093790,D
0093791,E
0093792,A
0093810,A
0093811,B
0093952,C
0094002,E
0094200,E
0094201,E
0094260,B
0094262,B
0094481,A
0094501,E
0094502,D
0094661,C
0094780,E
0094782,E
0094830,C
0094972,D
0095201,B
0095202,D
0095272,A
0095480,D
0095481,C
0095482,C
0095530,B
0095532,C
0095721,D
0095900,C
0095902,D
0096030,D
0096032,B
0096282,A
0096470,A
0096472,C
0096680,E
0096682,A
0096790,B
0096990,A
0097070,A
0097071,E
0097210,D
0097211,A
0097212,B
0097270,C
0097290,E
0097590,A
0097591,A
0097592,E
0097690,E
0097692,B
0097720,A
0097721,A
0097910,E
0097911,D
0097912,A
0098000,E
0098012,C
0098071,A
0098132,B
0098300,E
0098302,E
0098570,D
0098572,E
0098910,B
0098911,A
0099080,E
0099140,D
0099141,C
0099270,A
0099410,C
0099412,E
0100080,A
0100081,E
0100082,E
0100120,D
0100122,E
0100140,D
0100141,E
0100231,A
0100232,B
0100391,A
0100400,A
0100560,B
0100561,A
0100920,C
0101040,E
0101070,E
0101071,D
0101141,C
0101142,D
0101150,C
0101232,A
0101381,A
0101382,C
0101421,A
0101491,A
0101492,A
0101920,C
0101921,C
0102051,A
0102052,C
0102111,D
0102161,D
0102170,E
0102171,B
0102190,E
0102191,D
0102192,A
0102490,C
0102491,A
0102560,E
0102561,C
0102562,C
0102631,D
0102900,C
0102901,B
0103240,E
0103241,B
0103631,E
0103632,E
0103930,C
0103932,B
0104002,C
0104280,A
0104281,D
0104320,D
0104322,E
0104400,D
0104421,D
0104422,D
0104490,C
0104491,D
0104630,E
0104632,D
0104960,E
0104961,A
0105260,E
0105261,E
0105341,E
0105800,D
0105801,B
0105830,E
0105831,D
0105832,C
0105910,B
0106130,C
0106131,A
0106150,C
0106151,B
0106430,D
0106432,C
0106440,C
0106441,C
0106442,A
0106780,A
0106781,A
0106810,C
0106811,C
0106841,A
0106842,C
0106931,B
0106940,B
0106941,C
0106942,C
0106980,C
0106981,B
0107051,B
0107070,D
0107071,E
0107200,C
0107201,D
0107640,A
0107641,B
0107642,D
0107661,D
0107790,A
0107791,C
0107792,D
0107851,B
0107930,D
0107931,D
0108000,C
0108001,E
0108002,E
0108220,C
0108221,B
0108250,E
0108370,C
0108371,D
0108440,D
0108441,D
0108580,A
0109201,C
0109202,C
0109280,D
0109281,A
0109282,D
0109350,C
0109351,E
0109541,C
0109660,A
0109661,C
0109662,E
0109771,A
0109772,C
0109861,E
0109862,E
0109950,B
0109951,A
0110340,D
0110341,A
0110342,C
0110421,B
0110422,A
0110811,A
0110991,D
0110992,E
0111150,A
0111151,E
0111152,B
0111220,E
0111221,B
0111490,A
0111561,B
0111692,A
0111720,E
0111721,C
0111811,C
0111812,C
0111820,A
0111821,E
0111822,A
0111840,E
0111841,D
0111970,B
0111971,A
0111972,B
0111980,A
0111981,D
0112022,C
0112090,E
0112412,C
0112602,E
0112620,C
0112760,C
0112761,C
0112762,E
0112911,E
0113000,C
0113001,A
0113002,D
0113050,E
0113051,A
0113052,B
0113130,D
0113131,A
0113132,E
0113161,E
0113200,D
0113201,C
0113341,A
0113400,D
0113401,E
0113402,E
0113470,E
0113472,A
0113600,D
0113601,A
0113602,C
0113641,C
0113642,D
0113742,A
0113900,C
0113901,E
0113902,A
0114491,E
0114941,D
0114942,C
0115112,D
0115250,C
0115251,E
0115252,C
0115370,A
0115371,E
0115381,C
0115520,B
0115521,D
0115670,C
0115671,C
0115700,D
0115701,C
0115702,A
0116150,D
0116152,D
0116960,A
0116961,B
0116962,B
0116991,C
0117031,A
0117121,B
0117122,C
0117212,D
0117270,A
0117420,C
0117422,E
0117601,C
0117602,E
0117881,A
0117882,A
0117960,B
0117961,A
0118132,E
0118870,A
0118871,E
0118872,E
0119251,C
0119252,A
0119870,D
0119871,A
0120100,E
0120101,D
0120140,A
0120141,E
0120142,D
0120160,A
0120161,A
0120162,D
0120622,C
0120851,A
0120852,E
0121010,E
0121011,D
0121150,B
0121151,D
0121200,D
0121201,D
0121470,A
0121471,E
0121530,A
0121531,E
0121660,B
0121661,A
0121662,C
0121790,D
0121791,A
0121792,A
0121920,C
0122041,C
0122090,B
0122091,A
0122300,A
0122301,B
0122302,B
0122310,B
0122311,D
0122312,D
0122361,A
0122380,E
0122381,E
0122382,E
0122680,D
0122690,C
0122691,A
0122800,E
0123190,A
0123230,A
0123260,B
0123330,E
0123430,D
0123700,D
0123701,E
0123702,B
0123752,C
0124131,B
0124132,D
0124430,E
0124432,D
0124480,D
0124551,C
0124552,A
0124640,A
0124641,C
0124642,E
0124711,D
0124712,B
0125430,C
0125431,E
0125432,D
0125470,A
0125472,A
0125512,C
0125521,B
0125522,A
0125700,D
0125761,A
0125762,A
0126391,E
0126392,A
0126661,A
0126662,C
0126671,E
0126690,D
0126700,C
0126702,A
0127002,A
0127061,B
0127062,C
0127310,A
0127311,A
0127331,E
0127332,B
0127410,C
0127440,A
0127442,C
0127480,E
0127541,C
0127542,A
0127641,C
0128090,A
0128171,C
0128180,C
0128181,E
0128270,D
0128271,E
0128600,A
0128601,D
0128602,B
0128810,D
0128811,B
0128870,C
0128872,C
0128960,D
0128962,E
0128972,D
0129270,C
0129380,D
0129382,E
0129430,C
0129431,D
0129432,D
0129461,A
0129462,A
0129471,A
0129472,D
0129590,C
0129591,A
0129592,D
0129660,C
0129661,E
0129662,E
0129791,D
0129910,C
0129912,D
0130040,A
0130310,A
0130610,D
0130611,C
0130810,C
0131271,B
0131272,A
0131320,B
0131321,B
0131450,B
0131480,A
0131481,D
0131482,E
0131590,A
0131591,A
0131680,D
0131750,D
0131772,A
0132010,B
0132011,C
0132012,C
0132320,D
0132321,D
0132322,A
0132960,A
0132961,E
0132962,D
0133000,D
0133001,A
0133002,D
0133330,C
0133331,E
0133332,C
0133480,E
0133481,C
0133570,B
0133572,B
0133830,E
0134140,E
0134141,D
0134152,C
0134200,C
0134202,E
0134320,A
0134322,D
0134452,C
0134650,E
0134660,E
0134662,E
0134730,A
0134731,D
0134900,A
0134902,D
0135250,D
0135252,D
0135460,C
0135462,A
0135500,E
0135502,C
0135970,E
0135971,D
0135972,D
0136050,A
0136052,E
0136320,D
0136322,A
0136370,B
0136372,D
0136391,E
0136392,A
0136590,C
0136591,A
0136592,D
0137211,C
0137290,E
0137291,D
0137292,C
0137690,A
0137691,E
0137741,D
0137830,E
0137831,A
0137890,D
0137891,A
0138430,E
0138670,C
0138671,A
0138672,A
0138761,D
0138762,E
0138920,A
0139041,A
0139231,A
0139232,C
0139430,C
0139432,A
0139650,A
0139651,C
0139652,D
0139801,C
0139802,B
0139850,C
0139852,C
0139910,A
0139911,E
0139920,E
0140040,E
0140041,A
0140070,D
0140071,E
0140072,E
0140290,A
0140380,A
0140381,A
0140382,A
0140410,E
0140411,C
0140412,E
0140560,E
0140561,D
0140880,B
0140881,B
0141080,D
0141081,A
0141082,D
0141350,C
0141351,B
0141512,C
0141671,D
0141672,D
0141750,A
0141751,A
0142260,E
0142261,A
0142262,D
0142480,D
0142481,C
0142482,C
0142571,C
0142572,C
0142650,D
0142711,E
0142762,D
0142821,A
0142822,A
0142852,A
0142971,B
0142972,A
0143060,C
0143061,E
0143062,D
0143212,C
0143381,D
0143522,B
0143530,A
0143531,A
0143532,A
0143800,A
0143802,B
0144280,A
0144281,C
0144390,B
0144391,A
0144500,A
0144700,D
0144701,E
0144702,E
0144731,D
0144732,E
0144940,C
0144941,E
0144942,D
0145041,D
0145260,D
0145261,E
0145262,A
0145472,D
0145491,B
0145492,B
0145570,A
0145571,C
0145621,D
0145622,D
0145911,A
0145921,A
0145922,C
0146001,C
0146002,A
0146290,D
0146351,E
0146811,B
0146812,E
0147131,C
0147230,D
0147231,D
0147332,E
0147432,D
0147560,A
0147731,D
0147732,D
0148200,B
0148202,A
0148210,C
0148310,C
0148312,A
0148450,C
0148451,D
0148452,A
0148740,E
0148800,C
0148801,B
0148881,C
0148882,B
0148922,E
0149211,A
0149212,B
0149402,C
0149410,E
0149901,D
0150060,C
0150061,C
0150062,A
0150171,D
0150172,D
0150291,E
0150320,C
0150321,C
0150500,C
0150550,D
0150552,A
0150670,B
0150671,E
0150672,A
0150700,D
0150702,E
0150740,A
0150741,D
0150742,E
0150790,D
0150791,B
0150851,C
0151130,A
0151131,A
0151400,A
0151402,E
0151480,A
0151482,E
0151551,D
0151552,C
0151571,E
0151572,D
0151802,D
0152540,D
0152542,A
0152590,E
0152592,B
0152601,D
0152672,D
0152721,E
0152722,C
0152781,C
0152782,D
0153011,D
0153012,D
0153030,D
0153352,B
0153380,A
0153381,D
0153382,B
0153451,A
0153862,D
0154400,C
0154401,D
0154402,C
0154690,E
0154691,D
0154692,B
0154970,D
0154972,B
0155171,D
0155172,D
0155281,A
0155420,C
0155421,C
0155590,B
0155591,D
0155650,E
0155651,A
0155652,A
0155660,D
0155661,C
0155662,A
0155670,C
0155671,C
0155672,B
0155811,A
0155812,E
0155960,E
0155970,C
0155972,E
0155990,C
0156000,B
0156001,A
0156002,E
0156140,B
0156141,A
0156142,C
0156600,D
0156602,A
0156631,C
0156671,A
0156871,A
0156872,E
0156901,A
0157091,E
0157092,D
0157250,B
0157252,D
0157350,B
0157352,C
0157381,E
0157460,C
0157511,D
0157512,E
0157780,E
0157781,B
0157970,E
0158020,C
0158021,D
0158100,C
0158101,A
0158112,E
0158180,D
0158181,A
0158182,C
0158260,E
0158261,E
0158262,C
0158271,B
0158272,A
0158390,B
0158460,A
0158461,E
0158462,A
0158500,D
0158502,B
0158620,A
0158621,A
0158622,D
0158830,B
0158831,C
0158832,A
0159080,E
0159081,A
0159082,D
0159180,C
0159181,E
0159471,E
0159530,E
0159540,D
0159541,E
0159561,E
0159780,A
0159781,A
0159840,A
0159841,C
0159942,A
0160050,D
0160051,C
0160052,B
0160100,A
0160300,D
0160302,C
0160462,C
0160640,D
0160760,C
0160761,B
0160762,C
0160980,B
0160981,E
0160982,B
0161612,B
0161642,E
0161800,D
0161801,A
0161802,B
0161930,C
0161932,A
0162281,E
0162371,A
0162380,C
0162381,D
0162411,D
0162412,A
0162490,D
0162491,A
0162570,A
0162850,A
0163080,C
0163081,D
0163082,C
0163180,C
0163270,A
0163272,A
0163600,A
0163771,E
0163772,A
0163821,D
0163822,D
0164390,E
0164391,C
0164510,A
0164511,E
0164512,D
0164661,B
0164910,A
0164911,E
0164912,E
0164971,B
0164972,E
0164990,A
0164991,D
0165020,E
0165021,D
0165210,C
0165211,A
0165230,A
0165231,A
0165232,E
0165460,E
0165461,C
0165740,A
0165741,C
0165742,E
0165900,D
0165902,D
0165931,E
0165932,C
0165981,A
0165982,A
0165990,E
0165992,D
0166061,B
0166062,C
0166310,D
0166311,A
0166312,B
0166891,E
0167040,C
0167041,D
0167160,E
0167162,D
0167300,A
0167302,B
0167320,D
0167321,C
0167322,D
0167330,D
0167332,B
0167440,E
0167441,E
0167610,A
0167611,A
0167612,D
0167750,E
0168172,A
0168380,D
0168381,D
0168382,C
0168480,E
0168481,E
0168482,D
0168750,E
0168751,A
0168752,A
0168790,A
0168791,D
0168792,D
0168960,A
0168961,C
0168962,D
0168970,C
0168972,C
0169030,D
0169031,A
0169032,C
0169051,C
0169052,B
0169281,B
0169282,A
0169310,C
0169312,B
0169580,E
0169590,A
0169610,E
0169611,C
0169612,A
0169771,E
0169950,C
0169952,A
0170031,D
0170182,A
0170290,E
0170291,C
0170732,C
0170890,C
0170891,A
0170952,D
0171150,C
0171152,D
0171520,D
0171780,A
0171781,C
0171791,E
0171792,C
0171820,B
0171821,E
0171822,B
0171980,E
0171981,D
0172070,C
0172071,C
0172072,E
0172351,C
0172441,A
0172442,D
0172671,A
0172721,C
0172730,A
0172731,E
0172820,A
0173110,D
0173112,D
0173130,A
0173281,A
0173500,C
0173640,D
0173641,A
0173642,C
0173650,B
0173651,C
0173660,D
0173661,C
0173662,A
0173790,D
0173791,A
0174091,A
0174092,D
0174250,E
0174252,A
0174360,B
0174361,A
0174362,D
0174490,B
0174491,E
0174492,C
0174820,E
0174821,C
0174822,C
0174841,E
0175341,A
0175342,C
0176130,C
0176131,B
0176132,E
0176550,A
0176551,A
0176552,D
0176671,E
0177071,D
0177072,C
0177081,C
0177082,E
0177140,E
0177141,C
0177410,D
0177411,C
0177550,A
0177551,B
0177560,C
0177561,A
0177691,A
0177762,D
0177780,B
0177781,A
0177782,E
0178592,B
0178690,B
0178692,C
0178822,C
0178990,A
0178992,B
0179050,C
0179052,B
0179092,A
0179211,E
0179212,E
0179230,C
0179231,D
0179270,A
0179271,D
0179272,D
0179441,C
0179442,A
0179532,E
0179590,C
0179592,A
0179660,E
0179661,C
0179720,C
0179721,A
0179722,B
0179842,C
0180140,A
0180142,D
0180220,A
0180221,D
0180222,D
0180460,D
0180461,A
0180462,C
0180580,E
0180581,D
0180731,B
0180732,A
0180980,E
0180981,D
0180982,D
0181362,A
0181480,B
0181490,C
0181491,B
0181492,D
0181501,B
0181580,C
0181581,D
0181582,A
0181912,A
